Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Demand_MW_z1,Demand_MW_z2,Demand_MW_z3,Demand_MW_z4,Demand_MW_z5,Demand_MW_z6,Demand_MW_z7
,,,,,,,,199,11694.0,17624.0,23917.0,12604.0,3948.0,26834.0,11135.0
,,,,,,,,200,11653.0,17372.0,23576.0,12563.0,3913.0,26427.0,10924.0
,,,,,,,,201,11647.0,17258.0,23421.0,12610.0,3885.0,26032.0,10747.0
,,,,,,,,202,11657.0,17065.0,23157.0,12746.0,3948.0,25604.0,10665.0
,,,,,,,,203,11710.0,16832.0,22842.0,13023.0,4012.0,25604.0,10709.0
,,,,,,,,204,12204.0,16946.0,22997.0,13541.0,4161.0,26191.0,11081.0
,,,,,,,,205,12620.0,17924.0,24326.0,13598.0,4183.0,26848.0,11587.0
,,,,,,,,206,12570.0,18149.0,24630.0,13478.0,4132.0,26793.0,11586.0
,,,,,,,,207,12278.0,17893.0,24284.0,13262.0,4045.0,26531.0,11448.0
,,,,,,,,208,11881.0,17322.0,23508.0,12896.0,3912.0,25977.0,11206.0
,,,,,,,,209,11301.0,16387.0,22237.0,12416.0,3758.0,25243.0,10815.0
,,,,,,,,210,10615.0,15281.0,20738.0,11952.0,3634.0,24227.0,10333.0
,,,,,,,,211,10308.0,14412.0,19558.0,11741.0,3592.0,23437.0,9874.0
,,,,,,,,212,10206.0,13926.0,18899.0,11854.0,3603.0,23179.0,9751.0
,,,,,,,,213,10211.0,13717.0,18615.0,12045.0,3644.0,23251.0,9731.0
,,,,,,,,214,10248.0,13514.0,18341.0,11963.0,3731.0,23245.0,9610.0
,,,,,,,,215,10416.0,13316.0,18070.0,12113.0,3920.0,23222.0,9680.0
,,,,,,,,216,11094.0,13489.0,18306.0,12417.0,4035.0,23808.0,9943.0
,,,,,,,,217,15836.0,16236.0,22034.0,15880.0,4774.0,32145.0,13465.0
,,,,,,,,218,16091.0,17572.0,23846.0,15914.0,4811.0,34160.0,14102.0
,,,,,,,,219,15436.0,18436.0,25020.0,15909.0,4761.0,35081.0,14341.0
,,,,,,,,220,15021.0,18701.0,25379.0,15758.0,4695.0,34817.0,14286.0
,,,,,,,,221,14415.0,18975.0,25749.0,15536.0,4614.0,34349.0,14116.0
,,,,,,,,222,13778.0,18963.0,25733.0,15179.0,4497.0,33489.0,13820.0
,,,,,,,,223,13214.0,18501.0,25108.0,14821.0,4398.0,32516.0,13427.0
,,,,,,,,224,12776.0,18009.0,24439.0,14695.0,4355.0,31645.0,13063.0
,,,,,,,,225,12319.0,17596.0,23879.0,14577.0,4390.0,30713.0,12804.0
,,,,,,,,226,12314.0,17294.0,23471.0,14761.0,4514.0,29916.0,12619.0
,,,,,,,,227,12342.0,17158.0,23283.0,15188.0,4631.0,29819.0,12646.0
,,,,,,,,228,13330.0,17934.0,24335.0,15921.0,4804.0,31136.0,13437.0
,,,,,,,,229,14080.0,19479.0,26434.0,16144.0,4842.0,32149.0,14047.0
,,,,,,,,230,14219.0,19776.0,26838.0,16181.0,4777.0,32250.0,14146.0
,,,,,,,,231,14233.0,19591.0,26588.0,16106.0,4629.0,32183.0,14169.0
,,,,,,,,232,13959.0,19175.0,26022.0,15744.0,4426.0,32025.0,14059.0
,,,,,,,,233,13327.0,18233.0,24742.0,15199.0,4240.0,31586.0,13573.0
,,,,,,,,234,12710.0,16979.0,23041.0,14674.0,4058.0,30739.0,13063.0
,,,,,,,,235,12549.0,15785.0,21423.0,14460.0,4016.0,29866.0,12573.0
,,,,,,,,236,12600.0,15143.0,20550.0,14501.0,4043.0,29322.0,12298.0
,,,,,,,,237,12838.0,14927.0,20256.0,14554.0,4065.0,29365.0,12147.0
,,,,,,,,238,12867.0,14592.0,19801.0,14362.0,4154.0,29411.0,12046.0
,,,,,,,,239,13306.0,14204.0,19277.0,14380.0,4345.0,29438.0,12035.0
,,,,,,,,240,14066.0,14495.0,19671.0,14677.0,4458.0,30079.0,12274.0
,,,,,,,,241,12586.0,14591.0,19799.0,13104.0,3974.0,26093.0,11042.0
,,,,,,,,242,12788.0,15602.0,21174.0,13289.0,4088.0,27708.0,11477.0
,,,,,,,,243,12956.0,16305.0,22127.0,13433.0,4144.0,28671.0,11846.0
,,,,,,,,244,13000.0,17060.0,23151.0,13652.0,4198.0,29103.0,11992.0
,,,,,,,,245,12872.0,17569.0,23842.0,13651.0,4203.0,29431.0,12136.0
,,,,,,,,246,12673.0,17783.0,24134.0,13511.0,4172.0,29340.0,12107.0
,,,,,,,,247,12334.0,17691.0,24007.0,13435.0,4105.0,28821.0,12115.0
,,,,,,,,248,12159.0,17371.0,23576.0,13384.0,4064.0,28364.0,11917.0
,,,,,,,,249,12129.0,16864.0,22886.0,13399.0,4067.0,27722.0,11779.0
,,,,,,,,250,12161.0,16529.0,22431.0,13534.0,4131.0,27111.0,11735.0
,,,,,,,,251,12370.0,16473.0,22354.0,13939.0,4196.0,26961.0,11851.0
,,,,,,,,252,13158.0,17020.0,23098.0,14494.0,4353.0,27772.0,12359.0
,,,,,,,,253,13881.0,18819.0,25540.0,14698.0,4388.0,28540.0,12938.0
,,,,,,,,254,13890.0,19283.0,26168.0,14651.0,4318.0,28505.0,12973.0
,,,,,,,,255,13739.0,19242.0,26111.0,14509.0,4181.0,28230.0,12946.0
,,,,,,,,256,13574.0,18933.0,25694.0,14223.0,4018.0,27856.0,12726.0
,,,,,,,,257,13005.0,18147.0,24629.0,13664.0,3822.0,27264.0,12357.0
,,,,,,,,258,12537.0,17256.0,23417.0,13160.0,3668.0,26264.0,11822.0
,,,,,,,,259,12087.0,15928.0,21616.0,12930.0,3572.0,25411.0,11322.0
,,,,,,,,260,11956.0,15238.0,20679.0,13001.0,3568.0,24991.0,11020.0
,,,,,,,,261,11989.0,14880.0,20193.0,13150.0,3536.0,24906.0,10912.0
,,,,,,,,262,12106.0,14614.0,19830.0,12977.0,3567.0,24840.0,10831.0
,,,,,,,,263,12394.0,14344.0,19465.0,13099.0,3696.0,24822.0,10879.0
,,,,,,,,264,13090.0,14779.0,20055.0,13361.0,3821.0,25301.0,11126.0
,,,,,,,,265,14057.0,15593.0,21162.0,13684.0,3973.0,26335.0,11630.0
,,,,,,,,266,14365.0,16530.0,22433.0,13864.0,4092.0,27795.0,12036.0
,,,,,,,,267,14450.0,17233.0,23387.0,14123.0,4208.0,28840.0,12373.0
,,,,,,,,268,14336.0,17854.0,24228.0,14224.0,4272.0,29213.0,12446.0
,,,,,,,,269,13962.0,18194.0,24690.0,14291.0,4304.0,29648.0,12547.0
,,,,,,,,270,13511.0,18292.0,24824.0,14191.0,4271.0,29498.0,12456.0
,,,,,,,,271,12969.0,17947.0,24355.0,14140.0,4242.0,28875.0,12273.0
,,,,,,,,272,12488.0,17307.0,23487.0,14041.0,4216.0,28230.0,11995.0
,,,,,,,,273,12154.0,16759.0,22744.0,14070.0,4200.0,27509.0,11738.0
,,,,,,,,274,12007.0,16317.0,22144.0,14109.0,4252.0,27004.0,11559.0
,,,,,,,,275,11959.0,16119.0,21875.0,14367.0,4330.0,26958.0,11584.0
,,,,,,,,276,12788.0,16567.0,22483.0,15008.0,4392.0,28008.0,12091.0
,,,,,,,,277,13559.0,18386.0,24952.0,15228.0,4505.0,28748.0,12694.0
,,,,,,,,278,13581.0,18799.0,25513.0,15185.0,4438.0,28654.0,12760.0
,,,,,,,,279,13630.0,18723.0,25407.0,15086.0,4351.0,28315.0,12661.0
,,,,,,,,280,13597.0,18514.0,25124.0,14900.0,4182.0,28053.0,12499.0
,,,,,,,,281,13222.0,18012.0,24444.0,14389.0,3989.0,27503.0,12171.0
