Period_Index,Rep_Period,Rep_Period_Index
1678,2035,24
1679,2035,24
1680,2035,24
1681,2035,24
1682,2035,24
1683,2035,24
1684,2035,24
1685,2035,24
1686,2035,24
1687,2035,24
1688,2035,24
1689,2035,24
1690,2035,24
1691,2035,24
1692,2035,24
1693,2035,24
1694,2035,24
1695,2035,24
1696,2035,24
1697,2035,24
1698,2035,24
1699,2035,24
1700,2035,24
1701,2035,24
1702,2035,24
1703,2035,24
1704,2035,24
1705,2035,24
1706,2035,24
1707,2035,24
1708,2035,24
1709,2035,24
1710,2035,24
1711,2035,24
1712,2035,24
1713,2035,24
1714,2035,24
1715,2035,24
1716,2035,24
1717,2035,24
1718,2035,24
1719,2035,24
1720,764,5
1721,764,5
1722,2035,24
1723,2035,24
1724,2035,24
1725,2035,24
1726,2035,24
1727,2035,24
1728,2035,24
1729,2035,24
1730,2035,24
1731,2035,24
1732,2035,24
1733,2035,24
1734,2035,24
1735,2035,24
1736,2035,24
1737,844,6
1738,844,6
1739,844,6
1740,1039,8
1741,764,5
1742,764,5
1743,1039,8
1744,1039,8
1745,764,5
1746,764,5
1747,764,5
1748,764,5
1749,2035,24
1750,764,5
1751,764,5
1752,764,5
1753,764,5
1754,764,5
1755,764,5
1756,764,5
1757,1039,8
1758,844,6
1759,844,6
1760,764,5
1761,764,5
1762,764,5
1763,764,5
1764,1039,8
1765,844,6
1766,1039,8
1767,1039,8
1768,844,6
1769,844,6
1770,764,5
1771,764,5
1772,764,5
1773,764,5
1774,764,5
1775,1039,8
1776,844,6
1777,1039,8
1778,1039,8
1779,764,5
1780,764,5
1781,1039,8
1782,844,6
1783,764,5
1784,764,5
1785,1039,8
1786,1039,8
1787,1039,8
1788,1039,8
1789,1039,8
1790,764,5
1791,764,5
1792,764,5
1793,764,5
1794,1039,8
1795,844,6
1796,1818,23
1797,1818,23
1798,1818,23
1799,1818,23
1800,1818,23
1801,1818,23
1802,1818,23
1803,1818,23
1804,1818,23
1805,1818,23
1806,1818,23
1807,1818,23
1808,1818,23
1809,1818,23
1810,1818,23
1811,1818,23
1812,1818,23
1813,1818,23
1814,1818,23
1815,1818,23
1816,1818,23
1817,1818,23
1818,1818,23
1819,1818,23
1820,1818,23
1821,1818,23
1822,1818,23
1823,1818,23
1824,1039,8
1825,1818,23
1826,764,5
1827,1039,8
1828,764,5
1829,764,5
1830,764,5
1831,764,5
1832,764,5
1833,764,5
1834,764,5
1835,764,5
1836,764,5
1837,764,5
1838,764,5
1839,1039,8
1840,1039,8
1841,844,6
1842,1039,8
1843,1039,8
1844,1039,8
1845,1039,8
1846,844,6
1847,1039,8
1848,764,5
1849,1039,8
1850,1039,8
1851,1039,8
1852,844,6
1853,764,5
1854,1039,8
1855,764,5
1856,764,5
1857,1039,8
1858,1039,8
1859,764,5
1860,764,5
1861,764,5
1862,764,5
1863,764,5
1864,764,5
1865,764,5
1866,764,5
1867,764,5
1868,764,5
1869,844,6
1870,764,5
1871,1039,8
1872,764,5
1873,764,5
1874,1039,8
1875,844,6
1876,764,5
1877,1039,8
1878,1039,8
1879,844,6
1880,1039,8
1881,1039,8
1882,764,5
1883,844,6
1884,844,6
1885,1039,8
1886,844,6
1887,844,6
1888,1039,8
1889,764,5
1890,1039,8
1891,844,6
1892,844,6
1893,764,5
1894,764,5
1895,1039,8
1896,1039,8
1897,1039,8
1898,1039,8
1899,1039,8
1900,1039,8
1901,1039,8
1902,844,6
1903,844,6
1904,1039,8
1905,1039,8
1906,1039,8
1907,1039,8
1908,2035,24
1909,1039,8
1910,844,6
1911,844,6
1912,1039,8
1913,1039,8
1914,1039,8
1915,1039,8
1916,844,6
1917,844,6
1918,844,6
1919,1039,8
1920,1039,8
1921,844,6
1922,844,6
1923,764,5
1924,2035,24
1925,2035,24
1926,2035,24
1927,844,6
1928,844,6
1929,844,6
1930,844,6
1931,764,5
1932,2035,24
1933,2035,24
1934,844,6
1935,2035,24
1936,2035,24
1937,2035,24
1938,2035,24
1939,2035,24
1940,2035,24
1941,2035,24
1942,844,6
1943,844,6
1944,2035,24
1945,2035,24
1946,1039,8
1947,844,6
1948,2035,24
1949,844,6
1950,844,6
1951,844,6
1952,2035,24
1953,2035,24
1954,2035,24
1955,2035,24
1956,2035,24
